pais,pais_nome,ano,valor
ARE,United Arab Emirates,2024,100.0
ARE,United Arab Emirates,2023,100.0
ARE,United Arab Emirates,2022,100.0
ARE,United Arab Emirates,2021,100.0
ARE,United Arab Emirates,2020,100.0
ARE,United Arab Emirates,2019,99.1499979561243
ARE,United Arab Emirates,2018,98.4500017817194
ARE,United Arab Emirates,2017,94.8199225383446
ARE,United Arab Emirates,2016,90.6000073180483
ARE,United Arab Emirates,2015,90.5
ARG,Argentina,2024,89.66715228
ARG,Argentina,2023,89.22897166
ARG,Argentina,2022,88.37535691
ARG,Argentina,2021,87.15070683
ARG,Argentina,2020,85.51438646
ARG,Argentina,2019,79.9469520347551
ARG,Argentina,2018,77.7
ARG,Argentina,2017,74.2949068657957
ARG,Argentina,2016,70.9689808206024
ARG,Argentina,2015,68.0430641088122
AUS,Australia,2024,96.13140106
AUS,Australia,2023,96.1160965
AUS,Australia,2022,96.11940002
AUS,Australia,2021,96.97219849
AUS,Australia,2020,94.6934967
AUS,Australia,2019,93.60990143
AUS,Australia,2018,90.0082016
AUS,Australia,2017,86.5450488476768
AUS,Australia,2016,86.54000092
AUS,Australia,2015,84.5605149091408
AUT,Austria,2024,94.91974877
AUT,Austria,2023,95.33467117
AUT,Austria,2022,93.61409139
AUT,Austria,2021,92.52915104
AUT,Austria,2020,87.52942813
AUT,Austria,2019,87.7522047870069
AUT,Austria,2018,87.4791372262556
AUT,Austria,2017,87.9355865856062
AUT,Austria,2016,84.3237425711653
AUT,Austria,2015,83.9401419315026
BEL,Belgium,2024,95.77579144
BEL,Belgium,2023,94.62625074
BEL,Belgium,2022,94.00783071
BEL,Belgium,2021,92.78867618
BEL,Belgium,2020,91.52641629
BEL,Belgium,2019,90.275428012141
BEL,Belgium,2018,88.6473429951691
BEL,Belgium,2017,87.6796808175598
BEL,Belgium,2016,86.5164766644457
BEL,Belgium,2015,85.0529417508701
BGR,Bulgaria,2024,82.438955
BGR,Bulgaria,2023,80.38956462
BGR,Bulgaria,2022,79.12686326
BGR,Bulgaria,2021,75.27144583
BGR,Bulgaria,2020,70.16248359
BGR,Bulgaria,2019,67.9469809417603
BGR,Bulgaria,2018,64.78201069118
BGR,Bulgaria,2017,63.4101013837926
BGR,Bulgaria,2016,59.825547661014
BGR,Bulgaria,2015,56.6562516053086
BOL,Bolivia,2024,79.70469666
BOL,Bolivia,2023,77.30039978
BOL,Bolivia,2022,72.62270355
BOL,Bolivia,2021,65.9773785
BOL,Bolivia,2020,59.94010155
BOL,Bolivia,2019,47.4748191121692
BOL,Bolivia,2018,44.2861422024283
BOL,Bolivia,2017,43.83229828
BOL,Bolivia,2016,39.69749832
BOL,Bolivia,2015,37.4868176324391
BRA,Brazil,2024,84.46347227
BRA,Brazil,2023,84.15060238
BRA,Brazil,2022,80.52775094
BRA,Brazil,2021,80.68989314
BRA,Brazil,2020,81.34269353
BRA,Brazil,2019,73.9124399133589
BRA,Brazil,2018,70.4342825404361
BRA,Brazil,2017,67.4712845236305
BRA,Brazil,2016,60.8725400681261
BRA,Brazil,2015,58.3279517340924
CAN,Canada,2024,94.353302
CAN,Canada,2023,94.14530182
CAN,Canada,2022,94.0
CAN,Canada,2021,93.93710327
CAN,Canada,2020,92.3
CAN,Canada,2019,91.91290283
CAN,Canada,2018,94.64
CAN,Canada,2017,92.70140076
CAN,Canada,2016,91.16000366
CAN,Canada,2015,90.0
CHE,Switzerland,2024,97.3443985
CHE,Switzerland,2023,97.34436623
CHE,Switzerland,2022,96.45279694
CHE,Switzerland,2021,95.56937154
CHE,Switzerland,2020,94.34999847
CHE,Switzerland,2019,93.1460869535177
CHE,Switzerland,2018,91.80000305
CHE,Switzerland,2017,89.6861476710225
CHE,Switzerland,2016,89.1346877351392
CHE,Switzerland,2015,87.4790555978675
CHL,Chile,2024,95.590243
CHL,Chile,2023,94.45742345
CHL,Chile,2022,92.31819916
CHL,Chile,2021,90.23280334
CHL,Chile,2020,87.45929718
CHL,Chile,2019,85.01760101
CHL,Chile,2018,84.90000153
CHL,Chile,2017,82.3274869338464
CHL,Chile,2016,83.5585860244169
CHL,Chile,2015,76.6295919508796
CHN,China,2024,92.0
CHN,China,2023,90.6
CHN,China,2022,75.61131603
CHN,China,2021,73.05323517
CHN,China,2020,70.05275998
CHN,China,2019,64.080881297515
CHN,China,2018,65.35839844
CHN,China,2017,54.3
CHN,China,2016,53.2
CHN,China,2015,50.29999924
COL,Colombia,2024,79.34543299
COL,Colombia,2023,77.33686322
COL,Colombia,2022,72.79637855
COL,Colombia,2021,73.02837449
COL,Colombia,2020,69.79533474
COL,Colombia,2019,65.0069007159493
COL,Colombia,2018,64.1263768204459
COL,Colombia,2017,62.2598803162841
COL,Colombia,2016,58.1364935728703
COL,Colombia,2015,55.9049725142924
CRI,Costa Rica,2024,87.17019653
CRI,Costa Rica,2023,85.39514799
CRI,Costa Rica,2022,82.59801121
CRI,Costa Rica,2021,82.74901607
CRI,Costa Rica,2020,80.53018608
CRI,Costa Rica,2019,81.2025964435269
CRI,Costa Rica,2018,73.4797284369906
CRI,Costa Rica,2017,71.5816646195022
CRI,Costa Rica,2016,65.8804491942718
CRI,Costa Rica,2015,59.7629501371681
CYP,Cyprus,2024,89.60099246
CYP,Cyprus,2023,91.22110357
CYP,Cyprus,2022,89.60099194
CYP,Cyprus,2021,90.75951564
CYP,Cyprus,2020,90.80194644
CYP,Cyprus,2019,86.0636299618935
CYP,Cyprus,2018,84.4335825186889
CYP,Cyprus,2017,80.743188971932
CYP,Cyprus,2016,75.9002054030125
CYP,Cyprus,2015,71.7157409175171
CZE,Czechia,2024,87.68776014
CZE,Czechia,2023,85.99404818
CZE,Czechia,2022,84.54009378
CZE,Czechia,2021,82.67062427
CZE,Czechia,2020,81.33889705
CZE,Czechia,2019,80.8669444139622
CZE,Czechia,2018,80.6881675434288
CZE,Czechia,2017,78.7191728513432
CZE,Czechia,2016,76.4811986951838
CZE,Czechia,2015,75.668838699279
DEU,Germany,2024,93.49999579
DEU,Germany,2023,92.4763763
DEU,Germany,2022,91.62984383
DEU,Germany,2021,91.43060973
DEU,Germany,2020,89.81294133
DEU,Germany,2019,88.1345169091916
DEU,Germany,2018,87.037112092841
DEU,Germany,2017,84.3941537010844
DEU,Germany,2016,84.1652066441212
DEU,Germany,2015,87.5897993525767
DNK,Denmark,2024,99.76915157
DNK,Denmark,2023,98.77559197
DNK,Denmark,2022,97.86011812
DNK,Denmark,2021,98.8658506
DNK,Denmark,2020,96.54914573
DNK,Denmark,2019,98.0464347521549
DNK,Denmark,2018,97.3192043651002
DNK,Denmark,2017,97.0993621555621
DNK,Denmark,2016,96.9677852516645
DNK,Denmark,2015,96.3305016195436
ECU,Ecuador,2024,77.17273115
ECU,Ecuador,2023,72.6943146
ECU,Ecuador,2022,69.71811356
ECU,Ecuador,2021,69.1147995
ECU,Ecuador,2020,70.7
ECU,Ecuador,2019,59.2
ECU,Ecuador,2018,57.5
ECU,Ecuador,2017,55.79999924
ECU,Ecuador,2016,54.0629247288864
ECU,Ecuador,2015,48.9404337892669
EGY,"Egypt, Arab Rep.",2024,74.64839935
EGY,"Egypt, Arab Rep.",2023,74.01190186
EGY,"Egypt, Arab Rep.",2022,72.19806556
EGY,"Egypt, Arab Rep.",2021,72.05599976
EGY,"Egypt, Arab Rep.",2020,71.91420096
EGY,"Egypt, Arab Rep.",2019,57.2828663990195
EGY,"Egypt, Arab Rep.",2018,46.92433676792
EGY,"Egypt, Arab Rep.",2017,44.9502042452857
EGY,"Egypt, Arab Rep.",2016,41.2480670885772
EGY,"Egypt, Arab Rep.",2015,37.8193834276939
ESP,Spain,2024,95.7574516
ESP,Spain,2023,95.44564516
